

UB BASIC GSM KPIs(Cluster-CELL)
Save Time :2023-02-10 08:22:50
User Name :HW_RF_NASTAR

Date,GCell Group,Integrity,TCH Availability%_South,Total SDCCH Traffic (Erl)_South,Total TCH Traffic (Erl)_South,VAMOS Traffic,TCH AMR-FR Traffic (Erl)_South,TCH AMR-HR Traffic (Erl)_South,SDCCH Blocking%_South,TCH Blocking% (Call Setup)_South,TCH Blocking% (Mobility - InterCell HO)_South,DCR%_South,CSSR_Non Blocking,HSR%_South,In-HSR%_South,Out-HSR%_South,DL RxQual Index%_South,UL RxQual Index%_South,CEFR,SDCCH DR%_South,Total TCH Drops_South,Call Drop due to ABIS terrestrial link_South,Interference Band 345,K3001:Failed SDCCH Seizures due to Busy SDCCH,K3011A:Failed TCH Seizures due to Busy TCH (Traffic Channel),Initially Configured SDCCH_South,1800 TRX Count,900 TRX Count,"A3129B:Failed Assignments (First Assignment, Terrestrial Resource Request Failed)"
2023-01-26,BANNU_CLUSTER_01_Rural,83%,96.2998,35791.2817,195074.8145,21122.8063,23884.3488,165198.6801,2.3216,4.386,2.7834,1.0274,98.7161,95.7415,95.7446,95.7384,96.8934,98.6603,1.2051,0.0798,115904,1795,10.7745,507484,299349,24557.6667,1675,1842,2054
2023-01-26,KOHAT_CLUSTER_01_Rural,100%,97.821,8361.6929,61124.5312,3848.3098,14954.7999,45568.4488,0.5473,0.1418,0.5471,0.386,99.704,97.2519,97.2176,97.2862,98.2881,99.4978,0.2526,0.0436,14290,516,3.3798,35462,2535,6418,575,597,727
2023-01-26,KOHAT_CLUSTER_01_Urban,100%,97.428,2009.4191,13843.3697,1139.145,2646.9948,11158.372,1.0364,1.3435,3.9786,0.4272,99.8066,97.7039,97.9517,97.452,98.546,99.5291,0.1871,0.0062,3708,22,7.2774,16094,6397,1427,125,123,71
2023-01-26,KOHAT_CLUSTER_02_Rural,100%,94.658,14289.8318,106445.6419,11753.6775,14396.4166,90843.4638,0.2273,1.2331,2.1414,0.6213,99.6138,97.6167,97.6111,97.6224,98.0105,99.1954,0.365,0.0212,38176,1046,4.8741,23376,38264,10873,796,983,1057
2023-01-26,2G_USF_NPM_North,99%,96.7574,12412.7633,82625.8272,12684.5532,7848.8332,73097.9353,0.1364,5.1961,2.8808,1.11,99.3714,96.9035,96.8283,96.9786,97.6913,98.7304,0.5308,0.0983,43868,292,2.1631,11471,121848,7997,449,750,1726
2023-01-27,BANNU_CLUSTER_01_Rural,99%,97.0464,36379.2838,201707.4617,21636.1427,22562.956,172223.3005,2.4759,5.6971,3.645,0.83,98.8687,96.7285,96.7306,96.7265,96.7054,98.8921,1.0447,0.0874,91705,1588,6.5002,557616,395912,20683,1435,1562,350
2023-01-27,KOHAT_CLUSTER_01_Rural,100%,97.9469,8248.4906,59345.0453,3482.554,14961.2103,43826.8496,0.101,0.1253,0.5126,0.3745,99.6932,97.563,97.547,97.5789,98.3473,99.5302,0.2736,0.0333,12797,138,3.3445,6401,2152,6418,575,597,1136
2023-01-27,KOHAT_CLUSTER_01_Urban,100%,99.8194,1783.3831,12161.1024,826.4677,2646.8119,9478.328,0.0025,0.2971,0.0365,0.3544,99.8351,98.0164,98.211,97.8162,98.6491,99.6189,0.161,0.0039,2537,0,6.6242,35,1158,1427,125,123,3
2023-01-27,KOHAT_CLUSTER_02_Rural,100%,95.7038,14214.3273,106700.7734,11808.7244,14308.3173,91181.8261,0.397,1.5807,1.31,0.5539,99.6355,97.6424,97.6379,97.6468,97.9219,99.3251,0.347,0.0175,32902,1268,3.1526,40735,48585,10873,796,983,367
2023-01-27,2G_USF_NPM_North,100%,97.2061,12748.9457,81989.5176,12495.0524,7575.3618,72612.3145,0.8537,5.8773,3.4955,1.0329,99.3757,97.0133,96.9603,97.0663,97.6168,98.82,0.5335,0.0913,41358,907,1.5361,73900,141705,7989,447,749,2594
